Filename,CurrentPath,SizeBytes,SizeMB,DuplicateStatus,DuplicateOf
MANTA PASILLO.jpg,images2/MANTA PASILLO.jpg,4171419,3.98,exact duplicate (byte-identical),images/manta-hallway.jpg
SAUL&TAJIN.jpg,images2/SAUL&TAJIN.jpg,4152029,3.96,no duplicate found,
TOILET TAMBO1.jpg,images2/TOILET TAMBO1.jpg,3769659,3.60,no duplicate found,
maloka-beds.jpg,images/maloka-beds.jpg,3658451,3.49,exact duplicate (byte-identical),images2/MALOKABEDS.jpg
maloka-bed.jpg,images/maloka-bed.jpg,3518105,3.36,exact duplicate (byte-identical),images2/BEDMALOKA.jpg
BEDMALOKA.jpg,images2/BEDMALOKA.jpg,3518105,3.36,exact duplicate (byte-identical),images/maloka-bed.jpg
people-clarisa-wade-ns.jpg,images/people-clarisa-wade-ns.jpg,3474521,3.31,exact duplicate (byte-identical),images2/CLARISA&WADE-NS.jpg
CLARISA&WADE-NS.jpg,images2/CLARISA&WADE-NS.jpg,3474521,3.31,exact duplicate (byte-identical),images/people-clarisa-wade-ns.jpg
CATS-MAX-MANGO.jpg,images2/CATS-MAX-MANGO.jpg,2738319,2.61,no duplicate found,
sharetambo-beds.jpg,images/sharetambo-beds.jpg,2733110,2.61,exact duplicate (byte-identical),images2/BEDS-MAPACHO-SHARETAMBO.jpg
BEDS-MAPACHO-SHARETAMBO.jpg,images2/BEDS-MAPACHO-SHARETAMBO.jpg,2733110,2.61,exact duplicate (byte-identical),images/sharetambo-beds.jpg
tambo7-beds.jpg,images/tambo7-beds.jpg,2687122,2.56,exact duplicate (byte-identical),images2/TAMBO 7 - BEDS.jpg
TAMBO 7 - BEDS.jpg,images2/TAMBO 7 - BEDS.jpg,2687122,2.56,exact duplicate (byte-identical),images/tambo7-beds.jpg
SINKBATHR-MAIN.jpg,images2/SINKBATHR-MAIN.jpg,2629354,2.51,no duplicate found,
SOPLAJORDAN.jpg,images2/SOPLAJORDAN.jpg,2269051,2.16,no duplicate found,
placeholder-lake-alt.jpg,images/placeholder-lake-alt.jpg,2233405,2.13,exact duplicate (byte-identical),images/antoherlake-tambo3.jpg;images2/antoherlake-tambo3.jpg
antoherlake-tambo3.jpg,images/antoherlake-tambo3.jpg,2233405,2.13,exact duplicate (byte-identical),images/placeholder-lake-alt.jpg;images2/antoherlake-tambo3.jpg
antoherlake-tambo3.jpg,images2/antoherlake-tambo3.jpg,2233405,2.13,exact duplicate (byte-identical),images/placeholder-lake-alt.jpg;images/antoherlake-tambo3.jpg
